33 2 12 1980 -3 259500 1 16 14 4 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 5 9 3000 14 2000 17 2000 20
34 2 12 1984 9800 17500 1 9 16 4 35 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 9 13 0 17 -3 19 -4 -4
35 1 1 1983 -4 -4 1 -3 -3 4 35 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 7 12 7500 16 0 19 -4 -4
36 2 8 1980 40500 66000 1 16 15 4 35 2 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 20000 -4 -4 -4 -4 -4 -4 -4 0 100 4 9 28570 14 76000 17 -4 -4
37 2 11 1980 47500 3000 1 11 -3 4 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 800 4 9 11250 14 7500 17 40000 20
38 2 9 1981 47500 3000 1 11 -3 4 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 5 10 0 15 0 18 3000 20
39 1 2 1980 -3 -3 1 -3 -3 2 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 4 9 0 15 0 17 -4 -4
40 2 5 1984 -4 -4 1 12 12 4 35 1 -5 -5 -4 -4 -5 -5 -5 -5 -5 -5 -4 -4 -5 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 8 -4 -4 -4 -4 -4 -4 -4
41 2 1 1983 -4 -4 1 12 12 4 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 7 12 600 16 0 19 -4 -4
42 1 8 1983 -4 -4 1 -3 -3 4 35 1 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 0 0 7 12 -4 -4 -4 -4 -4 -4
